date,Holiday,Standard,Summer,Rainfall depth (mm),Air temperature (°C),Air humidity (%),Windspeed (km/h),DMA_E
2021/1/4 17:00,1,0,0,0,9.1,75,4,80.64
2021/1/4 18:00,1,0,0,0,8.7,77,6,83.89
2021/1/4 19:00,1,0,0,0,8.2,78,7,89.09
2021/1/4 20:00,1,0,0,0,8.5,76,6,90.59
2021/1/4 21:00,1,0,0,0,8.1,75,7,82.44
2021/1/4 22:00,1,0,0,0,8.1,73,6,74.42
2021/1/4 23:00,1,0,0,0,7.8,74,6,69.5
2021/1/5 00:00,1,0,0,0,7.9,71,6,62.75
2021/1/5 01:00,1,0,0,0,7.9,72,4,57.29
2021/1/5 02:00,1,0,0,0,7.5,73,5,55.29
2021/1/5 03:00,1,0,0,0,7.9,72,7,54.2
2021/1/5 04:00,1,0,0,0,7.4,74,7,54.05
2021/1/5 05:00,1,0,0,0,7.2,75,6,56.05
2021/1/5 06:00,1,0,0,0,7.3,75,8,64.62
2021/1/5 07:00,1,0,0,0,7.2,74,10,80.21
2021/1/5 08:00,1,0,0,0,7,75,6,92.57
2021/1/5 09:00,1,0,0,0,8,72,4,96.96
2021/1/5 10:00,1,0,0,0,8.6,69,4,96.27
2021/1/5 11:00,1,0,0,0,8.8,67,7,93.23
2021/1/5 12:00,1,0,0,0,9,67,7,92.23
2021/1/5 13:00,1,0,0,0,9.3,68,8,91.29
2021/1/5 14:00,1,0,0,0,9.6,68,7,86.22
2021/1/5 15:00,1,0,0,0,9.8,65,8,81.82
2021/1/5 16:00,1,0,0,0.4,8.7,72,12,81.52
2021/1/5 17:00,1,0,0,0.8,7.5,76,10,80.82
2021/1/5 18:00,1,0,0,0.3,7.2,76,14,84.7
2021/1/5 19:00,1,0,0,0.1,7.3,76,16,88.7
2021/1/5 20:00,1,0,0,0.1,7.1,75,24,88.76
2021/1/5 21:00,1,0,0,0,7.2,74,20,81.82
2021/1/5 22:00,1,0,0,0,7.1,75,23,73.68
2021/1/5 23:00,1,0,0,0,7,74,22,70.32
2021/1/6 00:00,1,0,0,0,7.2,75,15,63.87
2021/1/6 01:00,1,0,0,0,7.2,76,15,57.43
2021/1/6 02:00,1,0,0,0.6,7.2,77,14,55.33
2021/1/6 03:00,1,0,0,0,7.5,75,13,54.31
2021/1/6 04:00,1,0,0,0,7.5,75,15,54.22
2021/1/6 05:00,1,0,0,0,7.2,76,13,55.12
2021/1/6 06:00,1,0,0,0.2,7.2,80,12,58.29
2021/1/6 07:00,1,0,0,0,6.9,80,11,67.63
2021/1/6 08:00,1,0,0,0,7,80,12,85.12
2021/1/6 09:00,1,0,0,0,7,80,15,102.33
2021/1/6 10:00,1,0,0,0,7.7,79,15,106.99
2021/1/6 11:00,1,0,0,0,7.7,80,14,103.47
2021/1/6 12:00,1,0,0,0,8.3,79,12,99.71
2021/1/6 13:00,1,0,0,0,8.7,71,22,97.42
2021/1/6 14:00,1,0,0,0,8.7,75,17,91.11
2021/1/6 15:00,1,0,0,0,7.8,79,26,85.37
2021/1/6 16:00,1,0,0,0.2,6.9,78,24,82.77
2021/1/6 17:00,1,0,0,0,6.9,81,9,85.45
2021/1/6 18:00,1,0,0,0.1,6.7,83,10,89.04
2021/1/6 19:00,1,0,0,1.8,5.8,84,6,89.76
2021/1/6 20:00,1,0,0,0,6,83,10,92.62
2021/1/6 21:00,1,0,0,0,6.3,84,9,82.56
2021/1/6 22:00,1,0,0,0,6.3,84,9,74.59
2021/1/6 23:00,1,0,0,0,6.1,84,8,69.66
2021/1/7 00:00,1,0,0,0,5.9,82,10,62.47
2021/1/7 01:00,1,0,0,0,6.2,84,8,56.74
2021/1/7 02:00,1,0,0,0,5.7,85,12,55.68
2021/1/7 03:00,1,0,0,0,5.5,86,12,54.21
2021/1/7 04:00,1,0,0,0,5.9,83,8,55.02
2021/1/7 05:00,1,0,0,0,6.2,83,7,57.05
2021/1/7 06:00,1,0,0,0,6,82,10,70.39
2021/1/7 07:00,1,0,0,0,6.3,79,10,93.64
2021/1/7 08:00,1,0,0,0,6.6,79,8,97.85
2021/1/7 09:00,1,0,0,0,6.8,77,7,96.79
2021/1/7 10:00,1,0,0,0,6.9,77,10,91.02
2021/1/7 11:00,1,0,0,1.4,6.6,83,5,88.03
2021/1/7 12:00,1,0,0,0,7.5,77,7,86.59
2021/1/7 13:00,1,0,0,0,8.4,73,4,87.92
2021/1/7 14:00,1,0,0,0,7.9,75,8,84.96
2021/1/7 15:00,1,0,0,0,8.1,72,8,81.85
2021/1/7 16:00,1,0,0,0,7.8,83,8,78.08
2021/1/7 17:00,1,0,0,0,7.7,82,9,80.26
2021/1/7 18:00,1,0,0,0,7.3,86,10,85.17
2021/1/7 19:00,1,0,0,0,7.4,85,11,88.69
2021/1/7 20:00,1,0,0,0,7,86,6,92.5
2021/1/7 21:00,1,0,0,0,6.4,84,6,83.68
2021/1/7 22:00,1,0,0,0,6.1,84,5,74.72
2021/1/7 23:00,1,0,0,0,6,79,6,69.49
2021/1/8 00:00,1,0,0,0,5.8,80,5,62.18
2021/1/8 01:00,1,0,0,0,6.3,72,6,56.33
2021/1/8 02:00,1,0,0,0,6,73,13,54.75
2021/1/8 03:00,1,0,0,0,6,74,9,54.21
2021/1/8 04:00,1,0,0,0,5.8,71,18,54.81
2021/1/8 05:00,1,0,0,0,6,73,23,56.47
2021/1/8 06:00,1,0,0,0,5.6,72,26,69.21
2021/1/8 07:00,1,0,0,0,6.1,71,13,94.54
2021/1/8 08:00,1,0,0,0,6.3,75,30,98.83
2021/1/8 09:00,1,0,0,0,6.1,73,34,96.51
2021/1/8 10:00,1,0,0,0,6.6,73,30,91.57
2021/1/8 11:00,1,0,0,0,6.8,65,35,89.99
2021/1/8 12:00,1,0,0,0,7.1,63,39,87.98
2021/1/8 13:00,1,0,0,0,7.3,64,39,88.19
2021/1/8 14:00,1,0,0,0,6.9,62,42,88.01
2021/1/8 15:00,1,0,0,0,7.1,61,44,84.16
2021/1/8 16:00,1,0,0,0,6.8,60,39,81.08
2021/1/8 17:00,1,0,0,0,6.5,63,42,80.36
2021/1/8 18:00,1,0,0,0,6.3,61,46,84.23
2021/1/8 19:00,1,0,0,0,6.5,58,44,88.14
2021/1/8 20:00,1,0,0,0,6.3,61,41,90.08
2021/1/8 21:00,1,0,0,0,6.5,56,42,82.34
2021/1/8 22:00,1,0,0,0,6,58,40,74.83
2021/1/8 23:00,1,0,0,0,5.7,64,40,70.01
2021/1/9 00:00,1,0,0,0,5.5,66,39,62.97
2021/1/9 01:00,1,0,0,0,5.4,65,46,57.83
2021/1/9 02:00,1,0,0,0,5.1,65,46,55.29
2021/1/9 03:00,1,0,0,0,5,65,46,54.56
2021/1/9 04:00,1,0,0,0,5.1,65,45,54.72
2021/1/9 05:00,1,0,0,0,4.8,65,44,56.16
2021/1/9 06:00,1,0,0,0,4.8,64,38,61.09
2021/1/9 07:00,1,0,0,0,4.8,65,42,73.45
2021/1/9 08:00,1,0,0,0,4.6,68,41,89.5
2021/1/9 09:00,1,0,0,0,4.6,69,45,103.95
2021/1/9 10:00,1,0,0,0,5.1,64,45,106.22
2021/1/9 11:00,1,0,0,0,5.7,64,46,102.9
2021/1/9 12:00,1,0,0,0,6.1,64,46,99.89
2021/1/9 13:00,1,0,0,0,6,65,45,98.09
2021/1/9 14:00,1,0,0,0,5.9,65,40,91.73
2021/1/9 15:00,1,0,0,0,5.7,68,44,85.93
2021/1/9 16:00,1,0,0,0,5.6,67,44,84.56
2021/1/9 17:00,1,0,0,0,5.6,67,43,84.23
2021/1/9 18:00,1,0,0,0,5.6,67,45,86.16
2021/1/9 19:00,1,0,0,0,5.5,65,49,85.73
2021/1/9 20:00,1,0,0,0,5.5,66,47,87.11
2021/1/9 21:00,1,0,0,0,5.4,63,47,81.37
2021/1/9 22:00,1,0,0,0,5.3,65,48,74.49
2021/1/9 23:00,1,0,0,0,5.1,64,47,69.23
2021/1/10 00:00,1,0,0,0,5.2,66,43,62.83
2021/1/10 01:00,1,0,0,0,5.2,67,48,58.08
2021/1/10 02:00,1,0,0,0,5,65,48,55.42
2021/1/10 03:00,1,0,0,0,5.3,65,49,55.39
2021/1/10 04:00,1,0,0,0,5.3,65,55,54.5
2021/1/10 05:00,1,0,0,0,5.3,64,49,55.08
2021/1/10 06:00,1,0,0,0,5.1,65,51,57.92
2021/1/10 07:00,1,0,0,0,5,61,52,66.85
2021/1/10 08:00,1,0,0,0,4.9,61,53,83.79
2021/1/10 09:00,1,0,0,0,5,61,56,100.05
2021/1/10 10:00,1,0,0,0,5.2,64,54,107.81
2021/1/10 11:00,1,0,0,0,5.6,64,54,104.4
2021/1/10 12:00,1,0,0,0,5.3,62,51,104.73
2021/1/10 13:00,1,0,0,0,4.9,69,51,98.07
2021/1/10 14:00,1,0,0,0,4.9,70,47,91.2
2021/1/10 15:00,1,0,0,0,4.8,69,51,85.88
2021/1/10 16:00,1,0,0,0,4.7,65,48,85.13
2021/1/10 17:00,1,0,0,0,4.5,60,41,87.14
2021/1/10 18:00,1,0,0,0,4.8,62,44,90.94
2021/1/10 19:00,1,0,0,0,4.7,66,64,93.91
2021/1/10 20:00,1,0,0,0.1,4.5,63,67,95.63
2021/1/10 21:00,1,0,0,0,4.3,63,66,81.77
2021/1/10 22:00,1,0,0,0,4.2,61,62,75.53
2021/1/10 23:00,1,0,0,0,4.3,63,56,70.22
2021/1/11 00:00,1,0,0,0,4.2,61,56,61.17
2021/1/11 01:00,1,0,0,0,4.5,57,46,56.41
2021/1/11 02:00,1,0,0,0,4.4,55,35,54.66
2021/1/11 03:00,1,0,0,0,4.2,56,33,54.35
2021/1/11 04:00,1,0,0,0,3.8,58,32,55.06
2021/1/11 05:00,1,0,0,0,3.6,58,31,57.63
2021/1/11 06:00,1,0,0,0,3.7,60,37,72.1
2021/1/11 07:00,1,0,0,0,3.5,62,47,96.94
2021/1/11 08:00,1,0,0,0,3.3,63,64,97.46
2021/1/11 09:00,1,0,0,0,3.3,64,69,93.39
2021/1/11 10:00,1,0,0,0,3.7,62,67,90.16
2021/1/11 11:00,1,0,0,0,4.3,59,56,86.3
2021/1/11 12:00,1,0,0,0,4.4,57,44,89.89
2021/1/11 13:00,1,0,0,0,4.6,57,44,90.65
2021/1/11 14:00,1,0,0,0,4.6,57,49,87.47
2021/1/11 15:00,1,0,0,0,4.7,52,53,82.47
2021/1/11 16:00,1,0,0,0,4.8,54,49,81.86
2021/1/11 17:00,1,0,0,0,4.6,55,50,81.19
2021/1/11 18:00,1,0,0,0,4.3,47,34,86.85
2021/1/11 19:00,1,0,0,0,4.5,45,32,92.33
2021/1/11 20:00,1,0,0,0,4.3,45,17,95.37
2021/1/11 21:00,1,0,0,0,3.3,46,15,86.76
2021/1/11 22:00,1,0,0,0,3.2,48,10,75.03
2021/1/11 23:00,1,0,0,0,3.1,53,12,68.91
2021/1/12 00:00,1,0,0,0,2.8,58,18,61.67
2021/1/12 01:00,1,0,0,0,3.5,56,26,56.57
2021/1/12 02:00,1,0,0,0,3.5,57,22,54.64
2021/1/12 03:00,1,0,0,0,3.4,54,21,54.39
2021/1/12 04:00,1,0,0,0,2.4,55,21,54.75
2021/1/12 05:00,1,0,0,0,3.1,59,17,57.81
2021/1/12 06:00,1,0,0,0,3.2,51,18,71.33
2021/1/12 07:00,1,0,0,0,2.8,53,16,98.17
2021/1/12 08:00,1,0,0,0,2.8,53,19,101.17
2021/1/12 09:00,1,0,0,0,4.3,52,17,100.08
2021/1/12 10:00,1,0,0,0,4.5,51,7,93.19
2021/1/12 11:00,1,0,0,0,5.3,52,6,89.83
2021/1/12 12:00,1,0,0,0,5.8,52,7,88.65
2021/1/12 13:00,1,0,0,0,6,51,10,89.3
2021/1/12 14:00,1,0,0,0,6.1,47,13,86.67
2021/1/12 15:00,1,0,0,0,5.7,53,9,81.69
2021/1/12 16:00,1,0,0,0,5.7,52,6,79.89
2021/1/12 17:00,1,0,0,0,5.6,51,3,86.13038025
2021/1/12 18:00,1,0,0,0,5.2,57,5,87.70378991
2021/1/12 19:00,1,0,0,0,5.2,60,4,87.65000626
2021/1/12 20:00,1,0,0,0,4.6,59,5,85.2704989
2021/1/12 21:00,1,0,0,0,4.2,59,6,80.70419254
2021/1/12 22:00,1,0,0,0,3.8,59,8,74.64432163
2021/1/12 23:00,1,0,0,0,3.7,61,7,67.87718456
2021/1/13 00:00,1,0,0,0,4.2,53,7,61.03842385
2021/1/13 01:00,1,0,0,0,4.2,53,7,54.81908285
2021/1/13 02:00,1,0,0,0,3.7,59,8,50.55229204
2021/1/13 03:00,1,0,0,0,3.9,60,8,50.01984639
2021/1/13 04:00,1,0,0,0,3.5,67,4,54.48925035
2021/1/13 05:00,1,0,0,0,3.3,63,4,63.73927994
2021/1/13 06:00,1,0,0,0,3.1,65,5,78.41
2021/1/13 07:00,1,0,0,0,2.9,66,6,99.63
2021/1/13 08:00,1,0,0,0,2.6,60,5,103.2
2021/1/13 09:00,1,0,0,0,4.5,59,4,98.36
2021/1/13 10:00,1,0,0,0,5.9,48,5,92.96
2021/1/13 11:00,1,0,0,0,6.2,52,4,87.42
2021/1/13 12:00,1,0,0,0,7.1,59,4,87.35
2021/1/13 13:00,1,0,0,0,7.5,62,6,87.84
2021/1/13 14:00,1,0,0,0,8.2,59,10,84.85
2021/1/13 15:00,1,0,0,0,8.8,61,7,81.27
2021/1/13 16:00,1,0,0,0,9.7,35,17,79.97
2021/1/13 17:00,1,0,0,0,8.7,38,18,82.8
2021/1/13 18:00,1,0,0,0,8.1,40,9,86.55
2021/1/13 19:00,1,0,0,0,6.9,45,8,91.66
2021/1/13 20:00,1,0,0,0,6.4,48,8,94.65
2021/1/13 21:00,1,0,0,0,5.5,55,6,85.51
2021/1/13 22:00,1,0,0,0,5.3,56,7,74.71
2021/1/13 23:00,1,0,0,0,5,61,8,70.91
2021/1/14 00:00,1,0,0,0,5.5,66,5,61.02
2021/1/14 01:00,1,0,0,0,5.8,63,8,56.18
2021/1/14 02:00,1,0,0,0,5.7,58,7,54.33
2021/1/14 03:00,1,0,0,0,6,55,7,54.11
2021/1/14 04:00,1,0,0,0,6.4,54,6,54.73
2021/1/14 05:00,1,0,0,0,6.4,57,4,57.26
2021/1/14 06:00,1,0,0,0,6.5,63,3,71
2021/1/14 07:00,1,0,0,0,7.1,71,5,97.97
2021/1/14 08:00,1,0,0,0,7,72,7,102
2021/1/14 09:00,1,0,0,0,7.7,65,11,97.51
2021/1/14 10:00,1,0,0,0,9,62,3,93.33
2021/1/14 11:00,1,0,0,0,9.4,64,3,87.14
2021/1/14 12:00,1,0,0,0,10,62,7,87.78
2021/1/14 13:00,1,0,0,0,9.9,65,9,88.37
2021/1/14 14:00,1,0,0,0,9.9,68,15,85.47
2021/1/14 15:00,1,0,0,0,10.8,64,11,81.54
2021/1/14 16:00,1,0,0,0,10.9,35,17,80.36
2021/1/14 17:00,1,0,0,0,9.7,31,27,81.64
2021/1/14 18:00,1,0,0,0,9.3,34,32,88.85
2021/1/14 19:00,1,0,0,0,9.1,35,30,93.79
2021/1/14 20:00,1,0,0,0,8.2,36,40,95.63
2021/1/14 21:00,1,0,0,0,7.4,39,38,86.01
2021/1/14 22:00,1,0,0,0,6.7,44,45,75.28
2021/1/14 23:00,1,0,0,0,6.1,47,48,69.79
2021/1/15 00:00,1,0,0,0,6.1,43,42,60.98
2021/1/15 01:00,1,0,0,0,5.5,40,37,55.97
2021/1/15 02:00,1,0,0,0,5.6,38,15,54.54
2021/1/15 03:00,1,0,0,0,5.3,38,14,54.29
2021/1/15 04:00,1,0,0,0,5,38,9,54.84
2021/1/15 05:00,1,0,0,0,5.1,36,13,57.74
2021/1/15 06:00,1,0,0,0,4.8,38,11,71.19
2021/1/15 07:00,1,0,0,0,4.4,41,18,97.66
2021/1/15 08:00,1,0,0,0,4.5,42,11,102.77
2021/1/15 09:00,1,0,0,0,4.9,40,12,98.35
2021/1/15 10:00,1,0,0,0,5,45,28,91.54
2021/1/15 11:00,1,0,0,0,5.5,44,30,87.46
2021/1/15 12:00,1,0,0,0,5.9,38,29,88.99
2021/1/15 13:00,1,0,0,0,6.4,37,21,88.89
2021/1/15 14:00,1,0,0,0,6.9,42,19,86
2021/1/15 15:00,1,0,0,0,6.9,45,19,82.12
2021/1/15 16:00,1,0,0,0,6.4,38,21,81.45
2021/1/15 17:00,1,0,0,0,5.7,42,17,80.51
2021/1/15 18:00,1,0,0,0,5,43,14,85.06
2021/1/15 19:00,1,0,0,0,5,48,15,90.33
2021/1/15 20:00,1,0,0,0,4.3,48,16,90.86
2021/1/15 21:00,1,0,0,0,4.2,50,13,82.64
2021/1/15 22:00,1,0,0,0,4.1,48,14,74
2021/1/15 23:00,1,0,0,0,4.4,49,14,68.8
2021/1/16 00:00,1,0,0,0,4.4,49,20,62.49
2021/1/16 01:00,1,0,0,0,4.3,48,24,57.57
2021/1/16 02:00,1,0,0,0,3.3,52,14,55.11
2021/1/16 03:00,1,0,0,0,3.2,50,10,54.34
2021/1/16 04:00,1,0,0,0,3.4,50,13,54.61
2021/1/16 05:00,1,0,0,0,3,48,12,56.28
2021/1/16 06:00,1,0,0,0,2.7,48,12,61.88
2021/1/16 07:00,1,0,0,0,3.3,43,12,77.14
2021/1/16 08:00,1,0,0,0,2.7,47,13,96.21
2021/1/16 09:00,1,0,0,0,2.8,50,16,109.09
2021/1/16 10:00,1,0,0,0,3.7,46,17,105.47
2021/1/16 11:00,1,0,0,0,5,43,14,100.24
2021/1/16 12:00,1,0,0,0,6.4,37,7,95.01
2021/1/16 13:00,1,0,0,0,6,45,9,97.07
2021/1/16 14:00,1,0,0,0,5.9,50,21,91.73
2021/1/16 15:00,1,0,0,0,5.7,48,20,87.02
2021/1/16 16:00,1,0,0,0,5.7,49,15,84.91
2021/1/16 17:00,1,0,0,0,5.3,51,14,87.16813795
2021/1/16 18:00,1,0,0,0,5.2,56,11,88.48505599
2021/1/16 19:00,1,0,0,0,4.5,56,6,88.13496089
2021/1/16 20:00,1,0,0,0,4.3,55,8,85.59868725
2021/1/16 21:00,1,0,0,0,4.1,55,7,81.09220191
2021/1/16 22:00,1,0,0,0,4.1,57,6,75.21114221
2021/1/16 23:00,1,0,0,0,4.3,60,6,68.54667268
2021/1/17 00:00,1,0,0,0,4.1,56,6,61.63521921
2021/1/17 01:00,1,0,0,0,4.5,57,6,55.30587352
2021/1/17 02:00,1,0,0,0,4.6,59,6,51.06136047
2021/1/17 03:00,1,0,0,0,4.6,58,8,50.78381992
2021/1/17 04:00,1,0,0,0,4.7,59,6,55.75865156
2021/1/17 05:00,1,0,0,0,4.7,58,9,65.66232005
2021/1/17 06:00,1,0,0,0,4.5,57,5,78.27205309
2021/1/17 07:00,1,0,0,0,4.6,54,6,90.21855603
2021/1/17 08:00,1,0,0,0,4.7,51,11,98.41819334
2021/1/17 09:00,1,0,0,0,4.8,52,12,101.3661983
2021/1/17 10:00,1,0,0,0,5.1,54,13,99.56889033
2021/1/17 11:00,1,0,0,0,5.6,53,10,94.96356152
2021/1/17 12:00,1,0,0,0,6.3,52,11,89.8017787
2021/1/17 13:00,1,0,0,0,6.8,51,5,85.71545927
2021/1/17 14:00,1,0,0,0,7,53,5,83.41364215
2021/1/17 15:00,1,0,0,0,7.2,55,5,82.93101042
2021/1/17 16:00,1,0,0,0,6.6,53,15,83.99352829
2021/1/17 17:00,1,0,0,0,5.4,53,18,86.13098737
2021/1/17 18:00,1,0,0,0,4.8,57,22,88.5370042
2021/1/17 19:00,1,0,0,0,4.1,60,30,89.99585469
2021/1/17 20:00,1,0,0,0,3.1,61,33,89.17391752
2021/1/17 21:00,1,0,0,0,2.5,62,30,85.23561799
2021/1/17 22:00,1,0,0,0,2.4,62,32,78.39691125
2021/1/17 23:00,1,0,0,0,2.5,61,30,69.99240641
2021/1/18 00:00,1,0,0,0,2,59,29,61.9570387
2021/1/18 01:00,1,0,0,0,2,60,31,56.04719368
2021/1/18 02:00,1,0,0,0,2,60,33,53.29634956
2021/1/18 03:00,1,0,0,0,2.4,59,29,53.97627119
2021/1/18 04:00,1,0,0,0,2.4,56,24,57.91111693
2021/1/18 05:00,1,0,0,0,2.5,56,17,64.73308413
2021/1/18 06:00,1,0,0,0,2.4,58,9,73.79604791
2021/1/18 07:00,1,0,0,0,2.9,57,6,83.86282813
2021/1/18 08:00,1,0,0,0,2.9,59,6,92.99346885
2021/1/18 09:00,1,0,0,0,3.5,56,5,98.98916466
2021/1/18 10:00,1,0,0,0,4.2,57,8,100.3142445
2021/1/18 11:00,1,0,0,0,4.8,52,5,96.96717806
2021/1/18 12:00,1,0,0,0,5.5,54,3,90.68268692
2021/1/18 13:00,1,0,0,0,6.2,53,4,84.2280847
2021/1/18 14:00,1,0,0,0,6.4,52,4,80.14433096
2021/1/18 15:00,1,0,0,0,6.4,55,5,79.64496165
2021/1/18 16:00,1,0,0,0,6.4,57,7,81.48
2021/1/18 17:00,1,0,0,0,6.6,63,8,83.06
2021/1/18 18:00,1,0,0,0,6,64,10,87.08
2021/1/18 19:00,1,0,0,0,5,68,7,94.76
2021/1/18 20:00,1,0,0,0,4.8,71,6,95.35
2021/1/18 21:00,1,0,0,0,4.3,72,5,85.7
2021/1/18 22:00,1,0,0,0,4.1,73,5,75.74
2021/1/18 23:00,1,0,0,0,3.8,75,4,70.43
2021/1/19 00:00,1,0,0,0,3.6,75,5,61.72
2021/1/19 01:00,1,0,0,0,3.4,74,4,57.17
2021/1/19 02:00,1,0,0,0,3,76,3,55.46
2021/1/19 03:00,1,0,0,0,3.3,76,5,55.11
2021/1/19 04:00,1,0,0,0,3.3,77,6,55.43
2021/1/19 05:00,1,0,0,0,3.4,77,7,58.82
2021/1/19 06:00,1,0,0,0,4.4,75,7,72.07
2021/1/19 07:00,1,0,0,0,4.6,73,9,99.16
2021/1/19 08:00,1,0,0,0,4.8,73,6,101.34
2021/1/19 09:00,1,0,0,0,5,71,7,98.74
2021/1/19 10:00,1,0,0,0,5.6,66,6,92.66
2021/1/19 11:00,1,0,0,0,6.4,65,4,88.66
